Token;Label_AB;Label_AA;Label_CF;Label_LM;Label_MB;Label_CKP;Label_DN;périmètre;accord;désaccord_PER;désaccord_LOC;désaccord_ORG;désaccord_MISC;confusion
ringa;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
verres;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
leur;;;;;;;;;;;;;;
coupa;;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
pain;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Maitre;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
Tixiar;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
vent;;;;;;;;;;;;;;
qe;;;;;;;;;;;;;;
Jeanna;PER;PER;PER;PER;PER;;;X;PER;;;;;X
ahte;PER;PER;PER;PER;PER;;;X;PER;;;;;X
umn;PER;PER;PER;PER;PER;;;X;PER;;;;;X
maroean;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"
";PER;PER;PER;PER;PER;;;X;PER;;;;;X
de;PER;PER;PER;PER;PER;;;X;PER;;;;;X
vgne;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"
";;;;;;;;;;;;;;
Un;;;;;;;;;;;;;;
dimancehe;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
Jeanne;PER;PER;PER;PER;PER;;;X;PER;;;;;X
sarvait;;;;;;;;;;;;;;
son;;;;;;;;;;;;;;
maltre;;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
soupait;;;;;;;;;;;;;;
seul;;;;;;;;;;;;;;
i;;;;;;;;;;;;;;
sa;;;;;;;;;;;;;;
petite;;;;;;;;;;;;;;
table;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
peondant;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
autres;;;;;;;;;;;;;;
hommes;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
grands;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
petits;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
mangeaient;;;;;;;;;;;;;;
en-;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"
";PER;PER;PER;PER;PER;;;X;PER;;;;;X
sembie;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
lui;;;;;;;;;;;;;;
dit;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
Petite;;;;;;;;;;;;;;
leanne;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
largent;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
vaut;;;;;;;;;;;;;;
rien;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;
garder;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Voila;PER;PER;PER;PER;PER;;;X;PER;;;;;X
Gerbaud;PER;PER;PER;PER;PER;;;X;PER;;;;;X
qui;;;;;;;;;;;;;;
vend;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
sa;;;;;;;;;;;;;;
d6funte;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
tante;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
mre;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
Nannette;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
";";;;;;;;;;;;;;;
tu;;;;;;;;;;;;;;
sais;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
avait;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
joli;;;;;;;;;;;;;;
quartier;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
vigne;;;;;;;;;;;;;;
dans;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
Haues;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
-0;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
loehes;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
0;;;;;;;;;;;;;;
tout;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
contre;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
mienne;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
si;;;;;;;;;;;;;;
tu;;;;;;;;;;;;;;
veux;;;;;;;;;;;;;;
m';;;;;;;;;;;;;;
aen;;;;;;;;;;;;;;
eroire;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
je;;;;;;;;;;;;;;
te;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
l';;;;;;;;;;;;;;
aehterai;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
Comme;;;;;;;;;;;;;;
vous;;;;;;;;;;;;;;
voudre;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
notre;;;;;;;;;;;;;;
mafitre;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
repondit;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
leanne;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
pleurait;;;;;;;;;;;;;;
toutes;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
fois;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
enten-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
dait;;;;;;;;;;;;;;
prononeer;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
nom;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
sa;;;;;;;;;;;;;;
chere;PER;PER;PER;PER;PER;;;X;PER;;;;;X
mre;PER;PER;PER;PER;PER;;;X;PER;;;;;X
Nannette;PER;PER;PER;PER;PER;;;X;PER;;;;;X
";";;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
mais;;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
faut;;;;;;;;;;;;;;
pourtant;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
l';;;;;;;;;;;;;;
argent;;;;;;;;;;;;;;
tous;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
ans;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
faons;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
fumier;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
provins;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
Qu';;;;;;;;;;;;;;
est;;;;;;;;;;;;;;
-ce;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
tu;;;;;;;;;;;;;;
dis;;;;;;;;;;;;;;
done;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
petite;;;;;;;;;;;;;;
eannef;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Est;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
-ce;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
bechant;;;;;;;;;;;;;;
mon;;;;;;;;;;;;;;
arpent;;;;;;;;;;;;;;
on;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
donnera;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
coup;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
pioche;;;;;;;;;;;;;;
h;;;;;;;;;;;;;;
ton;;;;;;;;;;;;;;
quartier;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;
est;;;;;;;;;;;;;;
-ce;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
menant;;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
fumier;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;
ma;;;;;;;;;;;;;;
vigne;;;;;;;;;;;;;;
on;;;;;;;;;;;;;;
nen;;;;;;;;;;;;;;
pourra;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
laisser;;;;;;;;;;;;;;
in;;;;;;;;;;;;;;
brin;;;;;;;;;;;;;;
devant;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
tiennef;;;;;;;;;;;;;;
Nous;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
vendan-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
gerons;;;;;;;;;;;;;;
toutes;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
deux;;;;;;;;;;;;;;
ensemble;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
notre;;;;;;;;;;;;;;
cuve;;;;;;;;;;;;;;
est;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
-assez;;;;;;;;;;;;;;
grande;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
tenir;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
tout;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
tn;PER;PER;PER;PER;PER;;;X;PER;;;;;X
auras;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
profit;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
vigne;;;;;;;;;;;;;;
tout;;;;;;;;;;;;;;
net;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
ga;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
fait;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
deBAMNN;;;;;;;;;;;;;;
EN;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
SRVWICR;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
mal;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;
uno;;;;;;;;;;;;;;
jeunesse;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
marier;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
d';;;;;;;;;;;;;;
avoir;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
bout;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
au;;;;;;;;;;;;;;
soleil;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
];;;;;;;;;;;;;;
--;;;;;;;;;;;;;;
Notre;PER;PER;PER;PER;PER;;;X;PER;;;;;X
maltre;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
vous;;;;;;;;;;;;;;
tes;;;;;;;;;;;;;;
trop;;;;;;;;;;;;;;
bon;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
moi;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
ie;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
suis;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
pressae;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
me;;;;;;;;;;;;;;
marier;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
si;;;;;;;;;;;;;;
vous;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
me;;;;;;;;;;;;;;
renvoyes;;;;;;;;;;;;;;
ps;ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
0;;;;;;;;;;;;;;
je;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
vous;;;;;;;;;;;;;;
quitlerai;;;;;;;;;;;;;;
jamais;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
Te;;;;;;;;;;;;;;
renvoyer;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
ma;;;;;;;;;;;;;;
Ieanne;PER;PER;PER;PER;PER;;;X;PER;;;;;X
i;PER;PER;PER;PER;PER;;;X;PER;;;;;X
dit;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
mattresse;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
uhl;;;;;;;;;;;;;;
si;;;;;;;;;;;;;;
tu;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
quittes;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
maison;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
quand;;;;;;;;;;;;;;
je;;;;;;;;;;;;;;
t';;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
mettrai;;;;;;;;;;;;;;
dshors;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
tu;;;;;;;;;;;;;;
es;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
sire;;;;;;;;;;;;;;
d';;;;;;;;;;;;;;
y;;;;;;;;;;;;;;
mouir;PER;PER;PER;PER;PER;;;X;PER;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
Eh;;;;;;;;;;;;;;
bian;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
e';PER;PER;PER;PER;PER;;;X;PER;;;;;X
est;;;;;;;;;;;;;;
entendu;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
dit;;;;;;;;;;;;;;
mattra;PER;PER;PER;PER;PER;;;X;PER;;;;;X
Tixier;PER;PER;PER;PER;PER;;;X;PER;;;;;X
.;;;;;;;;;;;;;;
On;;;;;;;;;;;;;;
"
 ";;;;;;;;;;;;;;
fit;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
orie;;;;;;;;;;;;;;
daujourd';;;;;;;;;;;;;;
hui;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
huit;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
jirai;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
je;;;;;;;;;;;;;;
ta-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
chterai;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
le;;;;;;;;;;;;;;
quartier;;;;;;;;;;;;;;
des;;;;;;;;;;;;;;
Hautes-kloches;LOC;LOC;LOC;LOC;LOC;;;X;LOC;;;;;X
.;;;;;;;;;;;;;;
n;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Le;;;;;;;;;;;;;;
dimanehe;;;;;;;;;;;;;;
suivant;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
dit;;;;;;;;;;;;;;
i;PER;PER;PER;PER;PER;;;X;PER;;;;;X
Jeanne;PER;PER;PER;PER;PER;;;X;PER;;;;;X
:;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
Ma;;;;;;;;;;;;;;
fille;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
c';;;;;;;;;;;;;;
ast;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
fini;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
jeudi;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
allant;;;;;;;;;;;;;;
au;;;;;;;;;;;;;;
marche;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
je;;;;;;;;;;;;;;
te;;;;;;;;;;;;;;
con-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
duirai;ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
hez;ORG;ORG;ORG;ORG;ORG;;;X;ORG;;;;;X
le;;;;;;;;;;;;;;
notaire;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
signer;;;;;;;;;;;;;;
l';;;;;;;;;;;;;;
acte;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
puisque;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
tu;;;;;;;;;;;;;;
sais;;;;;;;;;;;;;;
crire;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
j';;;;;;;;;;;;;;
ai;;;;;;;;;;;;;;
eu;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
peine;;;;;;;;;;;;;;
h;;;;;;;;;;;;;;
laoir;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
ce;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
quartier;;;;;;;;;;;;;;
-0;;;;;;;;;;;;;;
lh;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
faisait;;;;;;;;;;;;;;
envie;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
beaueoup;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
monde;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Ie;PER;PER;PER;PER;PER;;;X;PER;;;;;X
lai;PER;PER;PER;PER;PER;;;X;PER;;;;;X
emporte;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
mais;;;;;;;;;;;;;;
aussi;;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
te;;;;;;;;;;;;;;
cote;;;;;;;;;;;;;;
deux;;;;;;;;;;;;;;
cent;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
dix;;;;;;;;;;;;;;
bons;;;;;;;;;;;;;;
franes;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
contrat;;;;;;;;;;;;;;
lamain;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Es;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
-0;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
tu;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
eontentef;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
"
";;;;;;;;;;;;;;
--;;;;;;;;;;;;;;
Notre;PER;PER;PER;PER;PER;;;X;PER;;;;;X
maltre;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
ce;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
vons;;;;;;;;;;;;;;
faites;;;;;;;;;;;;;;
est;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
fait;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
n;;;;;;;;;;;;;;
r6pondit;;;;;;;;;;;;;;
Jeanne;PER;PER;PER;PER;PER;;;X;PER;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Ieanne;PER;PER;PER;PER;PER;;;X;PER;;;;;X
raproshe;PER;PER;PER;PER;PER;;;X;PER;;;;;X
a;;;;;;;;;;;;;;
olange;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
sa;;;;;;;;;;;;;;
ngligenee;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Un;;;;;;;;;;;;;;
matin;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
levant;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
Jeanne;PER;PER;PER;PER;PER;;;X;PER;;;;;X
dit;;;;;;;;;;;;;;
h;;;;;;;;;;;;;;
Solange;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
ouchait;;;;;;;;;;;;;;
avee;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
Tes;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
cheveux;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
sont;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
bien;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
meles;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
:;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
tu;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
ne;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
les;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
pei-;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
"
";MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
gnes;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
done;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
jamais;;;;;;;;;;;;;;
l;;;;;;;;;;;;;;
je;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
te;;;;;;;;;;;;;;
vois;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
non;;;;;;;;;;;;;;
plus;;;;;;;;;;;;;;
laver;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
ni;;;;;;;;;;;;;;
tes;;;;;;;;;;;;;;
bras;;;;;;;;;;;;;;
ni;;;;;;;;;;;;;;
ton;;;;;;;;;;;;;;
cou;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
f;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
ipussoeiee;PER;PER;PER;PER;PER;;;X;PER;;;;;X
"
";PER;PER;PER;PER;PER;;;X;PER;;;;;X
-0;PER;PER;PER;PER;PER;;;X;PER;;;;;X
D';PER;PER;PER;PER;PER;;;X;PER;;;;;X
abord;PER;PER;PER;PER;PER;;;X;PER;;;;;X
0;;;;;;;;;;;;;;
ga;;;;;;;;;;;;;;
sert;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
8tre;;;;;;;;;;;;;;
propre;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
ce;;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
est1;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
dej;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
grnd;;;;;;;;;;;;;;
avantage;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Tu;;;;;;;;;;;;;;
te;;;;;;;;;;;;;;
tourmentes;;;;;;;;;;;;;;
au;;;;;;;;;;;;;;
lit;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
tu;;;;;;;;;;;;;;
dors;;;;;;;;;;;;;;
mal;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
paree;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
ls;PER;PER;PER;PER;PER;;;X;PER;;;;;X
tete;PER;PER;PER;PER;PER;;;X;PER;;;;;X
te;;;;;;;;;;;;;;
"dmange;tu";;tu;;;;;;X;;;;;;X
;;;;;;;;;;;;;;
ee.8R0OND;;;;;;;;;;;;;;
PARTIR;MISC;MISC;MISC;MISC;MISC;;;X;MISC;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
foi;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
aussil;PER;PER;PER;PER;PER;;;X;PER;;;;;X
ralsonnabla;PER;PER;PER;PER;PER;;;X;PER;;;;;X
que;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
oisons;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
tu;;;;;;;;;;;;;;
mnes;;;;;;;;;;;;;;
tous;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
matins;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;
labreuvoir;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Iu;PER;PER;PER;PER;PER;;;X;PER;;;;;X
nas;PER;PER;PER;PER;PER;;;X;PER;;;;;X
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
done;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
vu;;;;;;;;;;;;;;
oomme;;;;;;;;;;;;;;
ils;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
baignent;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
comme;;;;;;;;;;;;;;
ils;;;;;;;;;;;;;;
ra-;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
lvent;;;;;;;;;;;;;;
leurs;;;;;;;;;;;;;;
plumaes;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
l';;;;;;;;;;;;;;
oau;;;;;;;;;;;;;;
touchae;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
leur;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
peau;;;;;;;;;;;;;;
";";;;;;;;;;;;;;;
ils;;;;;;;;;;;;;;
plongent;;;;;;;;;;;;;;
leur;;;;;;;;;;;;;;
tte;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
s';;;;;;;;;;;;;;
en;;;;;;;;;;;;;;
servent;;;;;;;;;;;;;;
aprs;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
comme;;;;;;;;;;;;;;
d;;;;;;;;;;;;;;
une;;;;;;;;;;;;;;
vergatte;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
nettoyer;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
lisser;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Il;;;;;;;;;;;;;;
n';;;;;;;;;;;;;;
y;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
pe;;;;;;;;;;;;;;
jusqu;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
ohatte;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
que;;;;;;;;;;;;;;
tu;;;;;;;;;;;;;;
aimes;;;;;;;;;;;;;;
tant;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
fasse;;;;;;;;;;;;;;
sa;;;;;;;;;;;;;;
toilette;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
KEt;PER;PER;PER;PER;PER;;;X;PER;;;;;X
tes;PER;PER;PER;PER;PER;;;X;PER;;;;;X
mainsl;PER;PER;PER;PER;PER;;;X;PER;;;;;X
tu;;;;;;;;;;;;;;
t';;;;;;;;;;;;;;
imagi-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
nes;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
elles;;;;;;;;;;;;;;
